name,zprice_subzone,zprice_pa,zprice_ms
seascape,0.6689132939219898,0.0,-0.9882891825309932
la maison,-1.8618519875831447,0.3631652469012108,-0.5851019944938763
viva,0.16818132493015903,0.3631652469012108,-0.5851019944938763
urban treasures,1.0546221872819332,0.2676773579084659,0.24112124543746233
infini at east coast,1.1933220120052441,0.34791381755716794,0.24112124543746233
the watergardens at canberra,0.30095776336122465,0.4274177509646779,-0.41977708077104925
midwood,0.6565868227933209,0.23029749070375446,0.09947498306860306
sengkang grand residences,0.30857886775074467,1.1738150316556868,-0.2432773144892986
midtown bay,-0.6362950840085367,1.698592835410422,-0.1570185689228964
76 shenton,-0.6983424033798022,-0.14193327682977996,-0.1570185689228964
nouvel 18,0.004650667027736535,0.28547357089500897,0.7988085168763036
midtown modern,0.41708560378395837,0.4789644249241481,-0.1570185689228964
grandeur park residences,0.7735939682180922,0.17457133365119432,0.24112124543746233
east meadows,-1.5487415240987341,-0.38499048357576593,0.24112124543746233
the line @ tanjong rhu,0.5028585779462053,0.45369514842344605,-0.19542602159336628
the sail @ marina bay,-0.6903249272627289,0.02904114789714884,-0.1570185689228964
marina collection,-0.11216825634178348,0.0,-0.9882891825309932
eden residences capitol,0.3957462124334167,1.698592835410422,-0.1570185689228964
avenue south residence,0.0,0.1419237483112744,0.33337567621310804
sol acres,0.3397544445008857,0.11759260075254391,-1.0178050377089654
van holland,0.8043404930967597,0.9589293904852286,-0.5692534448375879
one pearl bank,0.2760851036781048,0.27425471292905196,0.6414656067719826
normanton park,0.0,-0.28535882687263187,-0.19049920066541412
corals at keppel bay,0.3439693847322634,0.0646432303185629,0.33337567621310804
grange 1866,-0.9818881908751551,1.3599161123037031,0.3970732147505547
marina one residences,0.11949217697504949,0.02904114789714884,-0.1570185689228964
rivergate,1.5770892290521084,-0.7409823736522679,-0.14026257860351726
riverbank @ fernvale,-0.02297240832804481,-0.3947024863871794,-0.2432773144892986
cairnhill plaza,-1.4846379648644472,-0.1404283421180053,0.7988085168763036
sennett residence,-0.08579018947675475,-0.9305777311382777,-0.15485761683972046
emerald park,0.0,-1.3737310206935434,0.33337567621310804
bijou,0.9882322483402152,0.061973037255305743,-0.19049920066541412
stars of kovan,0.5795465375257899,0.595407481131621,0.018167549172687876
oue twin peaks,0.45044494699335663,-0.2979689629593274,0.3970732147505547
bartley ridge,-0.9028786259037578,-0.6426220475696494,-0.15485761683972046
26 newton,-0.35396934147654247,0.3631652469012108,-0.5851019944938763
juniper hill,-0.12246378858110266,0.30817641647229205,0.06838007558595266
forett@bukit timah,0.5023846730180369,-0.7774817465342142,0.5658660723218675
hedges park condominium,-0.6659808961963912,-0.07968941467671334,-0.551984107050892
sims urban oasis,0.3875973836964766,-0.11813024468173529,-0.6803103336220623
zyanya,0.7374906726352427,-0.11813024468173529,-0.6803103336220623
riviera residences,0.26628193084989255,0.17457133365119432,0.24112124543746233
the woodleigh residences,0.0,0.7956063786282048,-0.15485761683972046
kent ridge hill residences,-0.25754151951916754,0.061973037255305743,-0.19049920066541412
marina bay residences,1.1093746823295143,0.02904114789714884,-0.1570185689228964
mayfair gardens,0.030462318231280313,-0.40692568760112435,0.5658660723218675
heron bay,-1.4939031772496942,-0.47296617605555147,0.018167549172687876
kopar at newton,0.036107164756746905,0.3631652469012108,-0.5851019944938763
d'leedon,-1.5366158891320951,0.49100890204419884,-0.5692534448375879
the iveria,-0.47280162155228095,-0.23994714514433282,0.3970732147505547
nomu,-1.71593928412273,0.015895789628861748,-0.10045193958044454
le nouvel ardmore,1.8079108084686575,0.28547357089500897,0.7988085168763036
suites @ eastcoast,-0.2987350771312236,0.34791381755716794,0.24112124543746233
sky everton,0.8174343132799025,0.7550235543804699,0.33337567621310804
ki residences at brookvale,0.24892645524860632,0.7203449438018287,0.5832610198969518
eco,-0.49958190473450587,0.17457133365119432,0.24112124543746233
royalgreen,0.48001655581719443,0.7114269741225754,-0.5692534448375879
commonwealth towers,-0.18612378551362005,0.5386328506109773,-0.19049920066541412
loft @ stevens,-1.1730815559299723,0.30817641647229205,0.06838007558595266
the boutiq,-0.5228213594639406,-0.19789177381165812,0.3970732147505547
the acacias,-0.7147481769365039,-0.5764236162412971,0.9429141692474692
treasure at tampines,0.1928981208975311,0.4860147930122379,-0.49035427783620256
sloane residences,0.2430993035321251,0.30817641647229205,0.06838007558595266
pullman residences newton,1.0355181338477721,0.3631652469012108,-0.5851019944938763
one-north eden,1.3044621061601485,-0.740767972393978,-0.19049920066541412
provence residence,-0.024239223888708313,-0.9700524041159001,-0.41977708077104925
the florence residences,0.5526281031787649,0.28941330053702846,0.018167549172687876
affinity at serangoon,0.003431176699297727,-0.43402683481541,0.9429141692474692
sims edge,0.22983854943727783,-0.11813024468173529,-0.6803103336220623
newest,-1.2748168997494616,-0.3477274845177349,0.5832610198969518
j gateway,0.0,0.6788331381195526,0.42205529916361195
bartley vue,0.45012905178122714,-0.6426220475696494,-0.15485761683972046
